,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol,1484,1506,1510,1585,1589,1615,CSA-3-S-055,CSA-3-S-090,CSA-3-S-30,CSA-3-S-31
ENSG00000143546,140.3351429,-5.875706026,1.278231507,-4.596746358,4.29E-06,0.000259501,S100A8,9.626968606,0,0,4.039186769,16.54723066,301.5426133,41.62175975,24.28614505,421.0306768,584.6568484
ENSG00000103569,83.27112508,-5.828893826,1.438976958,-4.050720752,5.11E-05,0.001449621,AQP9,4.813484303,0,0,9.088170229,5.515743555,39.4541737,34.68479979,2.023845421,290.7612842,446.3697496
ENSG00000186407,366.238433,-5.550048897,1.118952881,-4.960038075,7.05E-07,7.07E-05,CD300E,5.776181164,2.289430797,6.837910797,49.48003792,6.894679443,228.2705764,391.9382376,33.39344944,660.7263591,2276.777468
ENSG00000273703,51.89628751,-5.463139067,1.383966986,-3.947448979,7.90E-05,0.001926876,H2BC14,1.925393721,0,0,12.11756031,2.757871777,27.24216756,23.12319986,4.047690842,227.1898207,220.5591704
ENSG00000167772,2718.429167,-5.368613834,0.603150934,-8.900945901,5.54E-19,5.50E-15,ANGPTL4,91.45620176,109.8926783,145.3056044,166.6164542,71.01519827,650.9938661,15819.73718,1535.086752,3985.201258,4608.986473
ENSG00000276368,102.4289452,-5.176947635,1.502797919,-3.444872773,0.000571328,0.00721054,H2AC14,3.850787443,0,0,50.48983461,4.82627561,26.30278247,78.61887952,10.1192271,516.9089497,333.172715
ENSG00000124882,124.2698496,-5.167007817,1.334542235,-3.871745443,0.000108059,0.002366813,EREG,0,0,20.51373239,4.039186769,7.584147388,9.393850882,142.2076791,62.73920804,183.4193047,812.8013871
ENSG00000115009,30.77287054,-5.126544443,1.376289598,-3.724902411,0.000195391,0.003547259,CCL20,0,2.289430797,13.67582159,0,1.378935889,6.575695617,169.955519,24.28614505,7.295085984,82.27207149
ENSG00000136244,748.1758132,-5.088717789,0.886355122,-5.741172652,9.40E-09,3.10E-06,IL6,15.40314977,11.44715399,99.14970655,75.73475191,11.72095505,1036.141752,3285.8067,1797.174734,187.5879253,961.5913036
ENSG00000109321,128.1759694,-4.993817372,1.170588616,-4.266073754,1.99E-05,0.000762299,AREG,0,10.30243859,0,13.127357,5.515743555,73.27203688,153.7692791,48.5722901,108.3841346,868.8164145
ENSG00000158859,2788.758107,-4.931618852,0.553424548,-8.911095231,5.05E-19,5.50E-15,ADAMTS4,164.6211632,171.7073098,188.0425469,235.2826293,82.04668538,1819.588916,16105.3087,1824.496647,2431.347943,4865.138525
ENSG00000287080,232.9792386,-4.860538445,1.372814541,-3.540564513,0.000399272,0.005745103,H3C3,11.55236233,4.578861595,0,94.92088906,19.30510244,60.12064564,107.5228794,10.1192271,1272.471427,749.2009914
ENSG00000273983,156.3443135,-4.84426287,1.286708322,-3.764849258,0.00016665,0.003177636,H3C8,9.626968606,6.868292392,0,45.44085115,4.136807666,33.81786317,62.43263962,15.17884066,968.1621256,417.778746
ENSG00000173391,77.58312966,-4.829563006,1.666057281,-2.898797695,0.003745965,0.02618614,OLR1,0,1.144715399,0,6.058780153,34.47339722,1.878770176,18.49855989,41.48883113,330.3631796,341.9250631
ENSG00000137558,459.2378557,-4.820351214,1.195518569,-4.032017015,5.53E-05,0.001520298,PI15,7.701574885,0,51.28433098,69.67597176,30.33658955,811.6287162,458.9955172,39.4649857,2052.003472,1071.287399
ENSG00000163220,441.3253858,-4.796885947,1.11571953,-4.299365403,1.71E-05,0.000690012,S100A9,23.10472466,2.289430797,22.22321009,77.7543453,22.06297422,927.173082,215.0457587,12.14307252,1234.953842,1876.503418
ENSG00000100292,2899.301583,-4.631828497,0.809521249,-5.721688594,1.05E-08,3.28E-06,HMOX1,201.2036439,114.4715399,119.6634389,663.4364267,159.2670951,4564.472143,2323.881586,571.7363314,14065.96793,6208.915693
